x_over_c,x_surface_m,tx,ty,x_probe1_m,y_probe1_m,x_probe2_m,y_probe2_m
1.34,0.5628,1.0,0.0,0.5628,0.0005,0.5628,0.0015
1.35,0.5670000000000001,1.0,0.0,0.5670000000000001,0.0005,0.5670000000000001,0.0015
1.3596,0.571032,1.0,0.0,0.571032,0.0005,0.571032,0.0015
1.36,0.5712,1.0,0.0,0.5712,0.0005,0.5712,0.0015
1.37,0.5754,1.0,0.0,0.5754,0.0005,0.5754,0.0015
1.38,0.5795999999999999,1.0,0.0,0.5795999999999999,0.0005,0.5795999999999999,0.0015
1.39,0.5838,1.0,0.0,0.5838,0.0005,0.5838,0.0015
1.3926,0.584892,1.0,0.0,0.584892,0.0005,0.584892,0.0015
1.4,0.588,1.0,0.0,0.588,0.0005,0.588,0.0015
1.41,0.5922,1.0,0.0,0.5922,0.0005,0.5922,0.0015
1.42,0.5963999999999999,1.0,0.0,0.5963999999999999,0.0005,0.5963999999999999,0.0015
1.4266,0.599172,1.0,0.0,0.599172,0.0005,0.599172,0.0015
1.43,0.6005999999999999,1.0,0.0,0.6005999999999999,0.0005,0.6005999999999999,0.0015
1.44,0.6048,1.0,0.0,0.6048,0.0005,0.6048,0.0015
1.45,0.609,1.0,0.0,0.609,0.0005,0.609,0.0015
1.4597,0.613074,1.0,0.0,0.613074,0.0005,0.613074,0.0015
1.46,0.6132,1.0,0.0,0.6132,0.0005,0.6132,0.0015
1.47,0.6174,1.0,0.0,0.6174,0.0005,0.6174,0.0015
1.48,0.6215999999999999,1.0,0.0,0.6215999999999999,0.0005,0.6215999999999999,0.0015
1.49,0.6258,1.0,0.0,0.6258,0.0005,0.6258,0.0015
1.4931,0.627102,1.0,0.0,0.627102,0.0005,0.627102,0.0015
1.5,0.63,1.0,0.0,0.63,0.0005,0.63,0.0015
1.51,0.6342,1.0,0.0,0.6342,0.0005,0.6342,0.0015
1.52,0.6384,1.0,0.0,0.6384,0.0005,0.6384,0.0015
1.5268,0.6412559999999999,1.0,0.0,0.6412559999999999,0.0005,0.6412559999999999,0.0015
1.53,0.6426,1.0,0.0,0.6426,0.0005,0.6426,0.0015
1.54,0.6468,1.0,0.0,0.6468,0.0005,0.6468,0.0015
1.55,0.651,1.0,0.0,0.651,0.0005,0.651,0.0015
1.5593,0.654906,1.0,0.0,0.654906,0.0005,0.654906,0.0015
1.56,0.6552,1.0,0.0,0.6552,0.0005,0.6552,0.0015
