x_m,x_over_c,y_wall_m,pressure,Cp
-1.3307301998138428,-3.168405237652007,0.08950908482074738,nan,nan
-1.3306313753128052,-3.168169941220965,0.05205273628234863,nan,nan
-1.330589234828949,-3.168069606735593,0.05984313786029816,nan,nan
-1.3305021524429321,-3.167862267721267,0.04286452382802963,nan,nan
-1.330480694770813,-3.167811178025745,0.24530869722366333,nan,nan
-1.330446481704712,-3.1677297183445523,0.33372557163238525,nan,nan
-1.3304133415222168,-3.1676508131481356,0.008906224742531776,nan,nan
-1.330397367477417,-3.167612779708136,0.08261366188526154,nan,nan
-1.3303508758544922,-3.167502085367839,0.15572912991046906,nan,nan
-1.3303260803222656,-3.167443048386347,0.10368511825799942,nan,nan
-1.3301361799240112,-3.166990904580979,0.0041770595125854015,nan,nan
-1.330090880393982,-3.1668830485571,0.0,nan,nan
-1.330063819885254,-3.166818618774414,0.07306194305419922,nan,nan
-1.3300341367721558,-3.1667479446956093,0.3468216359615326,nan,nan
-1.3300222158432007,-3.1667195615314303,0.2098509818315506,nan,nan
-1.32992023229599,-3.1664767435618812,0.26042667031288147,nan,nan
-1.3298949003219604,-3.166416429338001,0.16438892483711243,nan,nan
-1.3298660516738892,-3.1663477420806885,0.313911110162735,nan,nan
-1.3298332691192627,-3.166269688379197,0.30111250281333923,nan,nan
-1.3298183679580688,-3.1662342094239735,0.272336483001709,nan,nan
-1.329807162284851,-3.1662075292496454,0.08616457879543304,nan,nan
-1.3297958374023438,-3.1661805652436756,0.20607496798038483,nan,nan
-1.3296492993831635,-3.1658316651980085,0.12030081450939178,nan,nan
-1.3296377658843994,-3.1658042044866654,0.2839546501636505,nan,nan
-1.3295682072639465,-3.165638588723682,0.011600447818636894,nan,nan
-1.3294998407363892,-3.1654758112771173,0.11601008474826813,nan,nan
-1.3294862508773804,-3.1654434544699535,0.15202298760414124,nan,nan
-1.3294761180877686,-3.1654193287804016,0.09649079293012619,nan,nan
-1.329404592514038,-3.165249029795329,0.06261613965034485,nan,nan
-1.3293496966362,-3.165118325324286,0.11171935498714447,nan,nan
-1.3293429613113403,-3.1651022888365246,0.19852295517921448,nan,nan
-1.3293092250823975,-3.1650219644818987,0.05715898424386978,nan,nan
-1.3292858600616455,-3.1649663334801086,0.21962274610996246,nan,nan
-1.3292515277862549,-3.1648845899672735,0.045839909464120865,nan,nan
-1.3291995525360107,-3.1647608393714544,0.10742862522602081,nan,nan
-1.3290581703186035,-3.1644242150442943,0.006319176405668259,nan,nan
-1.3290258646011353,-3.1643472966693698,0.03440779075026512,nan,nan
-1.3290210962295532,-3.164335943403698,0.17003418505191803,nan,nan
-1.32900959915585,-3.1643085694186905,0.002142117125913501,nan,nan
-1.3289670944213867,-3.1642073676699685,0.2882412075996399,nan,nan
-1.3289300203323364,-3.1641190960293724,0.22724325954914093,nan,nan
-1.3289155960083008,-3.1640847524007163,0.27905160188674927,nan,nan
-1.3288763761520386,-3.1639913717905683,0.2344035655260086,nan,nan
-1.3288617134094238,-3.1639564604986283,0.15855766832828522,nan,nan
-1.3288270235061646,-3.163873865490868,0.265080988407135,nan,nan
-1.3288158178329468,-3.16384718531654,0.19397400319576263,nan,nan
-1.3287687301635742,-3.163735071818034,0.03194558620452881,nan,nan
-1.3287587960561116,-3.1637114191812183,0.025450607761740685,nan,nan
-1.328717589378357,-3.163613308043707,0.13627439737319946,nan,nan
-1.3287013530731202,-3.163574650174096,0.03754083067178726,nan,nan
-1.3286216259002686,-3.163384823572068,0.14831683039665222,nan,nan
-1.3285938501358032,-3.1633186907995317,0.0762704536318779,nan,nan
-1.3285777568817139,-3.1632803735278903,0.31801971793174744,nan,nan
-1.3285510937372844,-3.1632168898506774,0.07061204314231873,nan,nan
-1.328517198562622,-3.1631361870538623,0.2970103323459625,nan,nan
-1.328471064567566,-3.1630263442084905,0.32685238122940063,nan,nan
-1.3283675909042358,-3.1627799783434187,0.0406738705933094,nan,nan
-1.3283517360687256,-3.162742228735061,0.013446376658976078,nan,nan
-1.328298658132553,-3.1626158526965553,0.022395864129066467,nan,nan
-1.3282886147499084,-3.1625919398807345,0.1894250512123108,nan,nan
-1.328270673751831,-3.1625492232186456,0.21321380138397217,nan,nan
-1.328239381313324,-3.1624747174126764,0.14044253528118134,nan,nan
-1.3282204866409302,-3.162429730097453,0.06538914889097214,nan,nan
-1.3282119035720825,-3.1624092942192443,0.009013399481773376,nan,nan
-1.3281748294830322,-3.162321022578648,0.33750683069229126,nan,nan
-1.3281176090240479,-3.16218478339059,0.019217384979128838,nan,nan
-1.328029751777649,-3.1619755994705927,0.054474830627441406,nan,nan
-1.328001856803894,-3.1619091828664145,0.0488152951002121,nan,nan
-1.3279345035552979,-3.1617488179888045,0.004284234251827002,nan,nan
-1.3278787732124329,-3.161616126696269,0.0,nan,nan
-1.3278590440750122,-3.161569152559553,0.30751949548721313,nan,nan
