x_m,Cp_near_wall,Cf,tau_x_Pa
-0.7554451219512195,-0.0013944242685678871,-0.0026496999422306257,-1.94292030449
-0.7535304878048781,-0.001202670988057224,-0.002645091626986589,-1.93954120895
-0.7516158536585367,-0.001202670988057224,-0.0026405539310790636,-1.93621389578
-0.749701219512195,-0.0014410732451185107,-0.0026360838329488627,-1.93293614939
-0.7477865853658536,-0.0014410732451185107,-0.0026316805662516935,-1.92970740785
-0.7458719512195122,-0.0014410732451185107,-0.0026273427577511673,-1.92652666422
-0.7439573170731708,-0.001487717721010019,-0.0026230680041540487,-1.92339215626
-0.7420426829268293,-0.001487717721010019,-0.002618854608028115,-1.92030263931
-0.7401280487804878,-0.0015344197902731115,-0.002614701426941721,-1.91725727567
-0.7382134146341464,-0.0015344197902731115,-0.002610607690732011,-1.91425550061
-0.736298780487805,-0.0015344197902731115,-0.002606573120957695,-1.91129710996
-0.7343841463414634,-0.0015812651267152367,-0.0026025970676451272,-1.90838162712
-0.7324695121951219,-0.0015812651267152367,-0.002598678555615637,-1.90550833703
-0.7305548780487805,-0.001628234656226843,-0.002594816244090606,-1.90267625655
-0.7286402439024391,-0.001628234656226843,-0.002591008198737011,-1.89988396731
-0.7267256097560976,-0.001628234656226843,-0.00258725183370712,-1.89712957321
-0.724810975609756,-0.0016752882249335527,-0.0025835451165445293,-1.89441158393
-0.7228963414634146,-0.0016752882249335527,-0.0025798869145412847,-1.8917291689
-0.7209817073170732,-0.0017224231999481182,-0.0025762758570385285,-1.88908132307
-0.7190670731707317,-0.0017224231999481182,-0.002572710527622857,-1.88646700784
-0.7171524390243902,-0.0017224231999481182,-0.0025691896682147747,-1.88388530071
-0.7152378048780488,-0.001769665476136306,-0.002565711907023493,-1.8813351958
-0.7133231707317074,-0.001769665476136306,-0.002562276464176101,-1.87881612126
-0.7114085365853658,-0.0018169566768548027,-0.0025588836635684043,-1.87632831459
-0.7094939024390243,-0.0018169566768548027,-0.002555533517910756,-1.87387178511
-0.7075792682926829,-0.0018169566768548027,-0.002552225236651913,-1.87144595314
-0.7056646341463415,-0.001864348600714814,-0.0025489580238946454,-1.86905023508
-0.7037500000000001,-0.001864348600714814,-0.002545731013043795,-1.86668399549
-0.7018353658536585,-0.0019119684052211572,-0.0025425428647936166,-1.86434625231
-0.6999207317073171,-0.0019119684052211572,-0.0025393926520247577,-1.86203632572
-0.6980060975609756,-0.0019119684052211572,-0.0025362799390939504,-1.85975389628
-0.6960914634146342,-0.001959774376044467,-0.0025332034554841013,-1.85749803237
-0.6941768292682926,-0.001959774376044467,-0.002530161651459474,-1.85526759763
-0.6922621951219512,-0.002007723611423832,-0.0025271534253242874,-1.85306178423
-0.6903475609756098,-0.002007723611423832,-0.0025241780064383665,-1.85088002709
-0.6884329268292684,-0.002007723611423832,-0.0025212347947693894,-1.84872188623
-0.6865182926829267,-0.002055821667498949,-0.002518323487028143,-1.84658713926
-0.6846036585365853,-0.002055821667498949,-0.002515444146480002,-1.84447583257
-0.6826890243902439,-0.0021040690522626916,-0.002512596361320431,-1.8423876642
-0.6807743902439025,-0.0021040690522626916,-0.0025097795330581694,-1.8403221953
-0.6788597560975609,-0.0021040690522626916,-0.0025069935646608536,-1.83827935472
-0.6769451219512195,-0.0021524501629563357,-0.002504238116958434,-1.83625889376
-0.6750304878048781,-0.0021524501629563357,-0.0025015122522214135,-1.83426012482
-0.6731158536585367,-0.0022010032154632935,-0.002498815358839048,-1.83228259943
-0.6712012195121951,-0.0022010032154632935,-0.002496147169239308,-1.83032612139
-0.6692865853658536,-0.0022010032154632935,-0.0024935069672647027,-1.82839016557
-0.6673719512195122,-0.002249789743538922,-0.002490893891652421,-1.82647410044
-0.6654573170731708,-0.002249789743538922,-0.0024883071608111985,-1.82457735289
-0.6635426829268293,-0.0022988045569950167,-0.0024857459605556274,-1.82269932591
-0.6616280487804878,-0.0022988045569950167,-0.0024832095651818142,-1.82083948737
